Группа и строка из 646 приказа;Тип продукции;ID типа продукции;Продукция;ТН ВЭД Продукции;Guid продукции;Вид продукции;ТН ВЭД Вида продукции;Guid вида продукции
Группа 4, Строка 1;Пищевые продукты;5;пищевые добавки;0404,0405,3501-3504,3002;6a46be63-a23c-4ea9-97d5-c0b958c0cd90;белок молочный;404;87680758-92b7-4392-9b34-eb600f9473f0
Группа 4, Строка 1;Пищевые продукты;5;пищевые добавки;0404,0405,3501-3504,3002;6a46be63-a23c-4ea9-97d5-c0b958c0cd90;сухой пермеат молочной сыворотки;404;84bb0a49-8a2e-45bc-911d-1f10566abc90
Группа 4, Строка 1;Пищевые продукты;5;пищевые добавки;0404,0405,3501-3504,3002;6a46be63-a23c-4ea9-97d5-c0b958c0cd90;Смесь молочных белков сухая;404;1eee8f1d-3ed6-48a2-8167-d6e4d5584e79
Группа 4, Строка 1;Пищевые продукты;5;пищевые добавки;0404,0405,3501-3504,3002;6a46be63-a23c-4ea9-97d5-c0b958c0cd90;смешанный сухой пермеат;404;d8f16e5c-dc3c-4680-948e-f36cecb1eec8
Группа 4, Строка 1;Пищевые продукты;5;пищевые добавки;0404,0405,3501-3504,3002;6a46be63-a23c-4ea9-97d5-c0b958c0cd90;смесь белковая на основе молочных белков;404;9fd3f9e7-5767-453c-b13c-c2032fce987d
Группа 4, Строка 1;Пищевые продукты;5;пищевые добавки;0404,0405,3501-3504,3002;6a46be63-a23c-4ea9-97d5-c0b958c0cd90;сухая молочная сыворотка;404;1327225a-1793-4043-b7b1-b921418dad6e
Группа 4, Строка 1;Пищевые продукты;5;пищевые добавки;0404,0405,3501-3504,3002;6a46be63-a23c-4ea9-97d5-c0b958c0cd90;молочный сухой пермеат;404;ae764623-f8a1-415a-afe9-eb368af7809f
Группа 4, Строка 1;Пищевые продукты;5;пищевые добавки;0404,0405,3501-3504,3002;6a46be63-a23c-4ea9-97d5-c0b958c0cd90;белково-сывороточный концентрат;404;42572dd4-6cd5-46b5-b094-22be890ffadf
Группа 4, Строка 1;Непищевые продукты и другое;6;сухое молоко;402;b5b424b2-c5b5-1f69-59c5-40ed2388b42b;обезжиренное сухое козье молоко;402;88203ceb-120e-edfb-e44f-a80f0107f9f1
Группа 4, Строка 1;Непищевые продукты и другое;6;сухое молоко;402;b5b424b2-c5b5-1f69-59c5-40ed2388b42b;обезжиренное сухое козье молоко;402;88203ceb-120e-edfb-e44f-a80f0107f9f1
Группа 2, Строка 1;Мясо и мясопродукты;1;козлятина;204;13581a3b-c7c0-915e-62eb-fa9fc897573b;козлятина;204;a9ca37a6-df57-20e5-a512-3262e6f06dcf
Группа 2, Строка 1;Мясо и мясопродукты;1;козлятина;204;13581a3b-c7c0-915e-62eb-fa9fc897573b;козлятина охлажденная;204;b8b28ab6-f317-8ebe-2e4d-514ea0f55939
Группа 2, Строка 1;Мясо и мясопродукты;1;субпродукты мелкого рогатого скота;206;0afdd23b-6fbb-ce96-669f-b0922b9efb85;субпродукты бараньи;1502;5a5cb95a-c0ba-4a5f-1d89-faf2e8f75b5b
Группа 2, Строка 1;Мясо и мясопродукты;1;субпродукты мелкого рогатого скота;206;0afdd23b-6fbb-ce96-669f-b0922b9efb85;субпродукты бараньи;206;e5c3a561-e5ae-0652-bc66-ae20ae41b5e4
Группа 2, Строка 1;Мясо и мясопродукты;1;субпродукты мелкого рогатого скота;206;0afdd23b-6fbb-ce96-669f-b0922b9efb85;субпродукты коз охлажденные;206;f3828b55-b0d8-d717-2aa7-9af2938931cf
Группа 2, Строка 1;Мясо и мясопродукты;1;субпродукты мелкого рогатого скота;206;0afdd23b-6fbb-ce96-669f-b0922b9efb85;субпродукты коз;206;794c62ce-7584-a3c6-4c52-e0eac100447d
